latitude,longitude,radius_searched,number_of_stops,number_of_bus_stops,number_of_metro_stops,google_maps_link,stop_name
40.696223,-73.838235,400.0,4,2,2,"https://www.google.com/maps/search/?api=1&query=40.696223,-73.838235",JAMAICA AV/110 ST
40.695531,-73.839895,400.0,4,2,2,"https://www.google.com/maps/search/?api=1&query=40.695531,-73.839895",JAMAICA AV/108 ST
40.695302,-73.84158,400.0,3,1,2,"https://www.google.com/maps/search/?api=1&query=40.695302,-73.84158",JAMAICA AV/106 ST
40.695242,-73.843423,400.0,3,1,2,"https://www.google.com/maps/search/?api=1&query=40.695242,-73.843423",JAMAICA AV/104 ST
40.695177,-73.845861,400.0,3,1,2,"https://www.google.com/maps/search/?api=1&query=40.695177,-73.845861",JAMAICA AV/102 ST
40.694847,-73.847657,400.0,8,6,2,"https://www.google.com/maps/search/?api=1&query=40.694847,-73.847657",JAMAICA AV/98 ST
40.694577,-73.84905,400.0,8,6,2,"https://www.google.com/maps/search/?api=1&query=40.694577,-73.84905",JAMAICA AV/96 ST
40.694157,-73.850962,400.0,8,6,2,"https://www.google.com/maps/search/?api=1&query=40.694157,-73.850962",JAMAICA AV/94 ST
40.693813,-73.851904,400.0,8,6,2,"https://www.google.com/maps/search/?api=1&query=40.693813,-73.851904",JAMAICA AV/WOODHAVEN BL
40.693484,-73.852828,400.0,8,6,2,"https://www.google.com/maps/search/?api=1&query=40.693484,-73.852828",JAMAICA AV/WOODHAVEN BL WEST
40.692825,-73.855094,400.0,8,6,2,"https://www.google.com/maps/search/?api=1&query=40.692825,-73.855094",JAMAICA AV/90 ST
40.692701,-73.856901,400.0,6,4,2,"https://www.google.com/maps/search/?api=1&query=40.692701,-73.856901",JAMAICA AV/88 ST
40.692605,-73.858618,400.0,3,1,2,"https://www.google.com/maps/search/?api=1&query=40.692605,-73.858618",JAMAICA AV/86 ST
40.692155,-73.862247,400.0,3,1,2,"https://www.google.com/maps/search/?api=1&query=40.692155,-73.862247",JAMAICA AV/80 ST
40.691818,-73.864486,400.0,3,1,2,"https://www.google.com/maps/search/?api=1&query=40.691818,-73.864486",JAMAICA AV/78 ST
40.691559,-73.866012,400.0,3,1,2,"https://www.google.com/maps/search/?api=1&query=40.691559,-73.866012",JAMAICA AV/76 ST
40.691391,-73.867098,400.0,3,1,2,"https://www.google.com/maps/search/?api=1&query=40.691391,-73.867098",JAMAICA AV/DEXTER CT
40.705603,-73.79448,400.0,37,37,0,"https://www.google.com/maps/search/?api=1&query=40.705603,-73.79448",JAMAICA AV/165 ST
40.701715,-73.807033,400.0,40,26,3,"https://www.google.com/maps/search/?api=1&query=40.701715,-73.807033",JAMAICA AV/147 PL
40.702449,-73.81507,400.0,7,6,1,"https://www.google.com/maps/search/?api=1&query=40.702449,-73.81507",JAMAICA AV/138 ST
40.703254,-73.800661,400.0,31,28,3,"https://www.google.com/maps/search/?api=1&query=40.703254,-73.800661",JAMAICA AV/PARSONS BL
40.704502,-73.797125,400.0,40,40,0,"https://www.google.com/maps/search/?api=1&query=40.704502,-73.797125",JAMAICA AV/GUY R BREWER BL
40.704244,-73.798183,400.0,31,28,3,"https://www.google.com/maps/search/?api=1&query=40.704244,-73.798183",JAMAICA AV/162 ST
40.702459,-73.81799,400.0,7,6,1,"https://www.google.com/maps/search/?api=1&query=40.702459,-73.81799",JAMAICA AV/METROPOLITAN AV
40.702136,-73.810958,400.0,30,15,5,"https://www.google.com/maps/search/?api=1&query=40.702136,-73.810958",JAMAICA AV/144 PL
40.702306,-73.811385,400.0,30,15,5,"https://www.google.com/maps/search/?api=1&query=40.702306,-73.811385",JAMAICA AV/144 ST
40.702584,-73.81414,400.0,7,6,1,"https://www.google.com/maps/search/?api=1&query=40.702584,-73.81414",JAMAICA AV/QUEENS BL
40.702355,-73.818286,400.0,5,4,1,"https://www.google.com/maps/search/?api=1&query=40.702355,-73.818286",JAMAICA AV/134 ST
40.702504,-73.81577,400.0,7,6,1,"https://www.google.com/maps/search/?api=1&query=40.702504,-73.81577",JAMAICA AV/138 ST
40.707288,-73.78958,400.0,18,18,0,"https://www.google.com/maps/search/?api=1&query=40.707288,-73.78958",JAMAICA AV/170 ST
40.705576,-73.794776,400.0,37,37,0,"https://www.google.com/maps/search/?api=1&query=40.705576,-73.794776",JAMAICA AV/165 ST
40.702037,-73.804615,400.0,33,30,3,"https://www.google.com/maps/search/?api=1&query=40.702037,-73.804615",JAMAICA AV/150 ST
40.703676,-73.799281,400.0,31,28,3,"https://www.google.com/maps/search/?api=1&query=40.703676,-73.799281",JAMAICA AV/160 ST
40.69207,-73.862255,400.0,3,1,2,"https://www.google.com/maps/search/?api=1&query=40.69207,-73.862255",JAMAICA AV/80 ST
40.678609,-73.903663,400.0,18,6,5,"https://www.google.com/maps/search/?api=1&query=40.678609,-73.903663",VAN SINDEREN AV/FULTON ST
